Hora,Azimut,Elevación,Velocidad Azimut,Velocidad Elevación,Delta Tiempo,tiempo_jd
18:30:17,42.79079656932868,22.7586612701416,0.0007569760876504695,1.7209165454395314,14.400002360343933,2459575.479371111
18:30:32,42.779896111879786,22.79914093017578,0.00076227447055624,0.002820488301522499,14.35200423002243,2459575.4795377776
18:30:46,42.768955945453925,22.8396053314209,0.0007599607698432768,0.0028006921283855457,14.448000490665436,2459575.4797038888
18:31:0,42.75797603187834,22.880064010620117,0.0007678121273660604,0.0028096300394114954,14.400002360343933,2459575.479871111
18:31:15,42.74691953543197,22.920650482177734,0.0007629023371348814,0.0028185045072900814,14.400002360343933,2459575.4800377777
18:31:29,42.73593373997652,22.960823059082024,0.0007759414373795739,0.0027990917686781494,14.35200423002243,2459575.4802044444
18:31:44,42.724797425184995,23.001392364501953,0.0007735613818485068,0.0028173124145904663,14.400002360343933,2459575.4803705555
18:31:58,42.713658139460506,23.041816711425778,0.0007737426575648123,0.0028072458540110315,14.400002360343933,2459575.480537222
18:32:12,42.702516243365274,23.08210182189942,0.0007765136702663053,0.0027882827453993286,14.448000490665436,2459575.480703889
18:32:27,42.69129717347626,23.12251281738281,0.0007495162445556895,0.0021981650400504137,18.383967876434326,2459575.480871111
18:32:45,42.67751809091348,23.171934127807617,0.0007877649360836622,0.0029501681981425874,16.752031445503235,2459575.4810838886
18:33:2,42.66432142793254,23.219057083129883,0.0008277826539620742,0.003250756057195136,14.495998620986938,2459575.481277778
18:33:16,42.65232189172223,23.261724472045895,0.000748897299864007,0.0028129922485918253,15.167972445487976,2459575.4814455556
18:33:32,42.64096263811339,23.30196189880371,0.0007989197549606003,0.0022903818040942046,17.56799966096878,2459575.481621111
18:33:49,42.626927216129104,23.35147476196289,0.0008381106200087918,0.003253997633208413,15.216010808944702,2459575.481824444
18:34:4,42.61417451587596,23.39626693725586,0.000800789033220057,0.0031209700453731504,14.35200423002243,2459575.4820005554
18:34:19,42.60268158828383,23.436475753784176,0.00080366388644564,0.002642533383630359,15.216010808944702,2459575.4821666665
18:34:34,42.590453029900914,23.479095458984375,0.0007244438261376861,0.002658418223683191,16.031979024410248,2459575.482342778
18:34:50,42.57883876167591,23.51942253112793,0.0008858738979747192,0.002393578218585383,16.84802770614624,2459575.482528333
18:35:7,42.56391353369868,23.571025848388672,0.0008156685722407641,0.003595557881272167,14.351963996887207,2459575.4827233334
18:35:21,42.55220708771649,23.611333847045895,0.000813049543145898,0.0027898669219498713,14.448000490665436,2459575.482889444
18:35:36,42.54046014751818,23.65163040161133,0.0008213120787682906,0.002807730120448398,14.35200423002243,2459575.4830566663
18:35:50,42.52867267308953,23.691919326782234,0.0008213874412944372,0.0028071985295700422,14.35200423002243,2459575.4832227775
18:36:4,42.516884117057586,23.732065200805664,0.0008244431002827573,0.0023828290522972272,16.847987473011017,2459575.4833888886
18:36:21,42.50299391003181,23.7791805267334,0.0008247575672811788,0.0032610274313165095,14.448000490665436,2459575.4835838885
18:36:36,42.49107781229505,23.81944084167481,0.0008331101043335213,0.002805205063777136,14.35200423002243,2459575.4837511107
18:36:50,42.479121012553584,23.859691619873047,0.0008331625139306336,0.002795192472265489,14.400002360343933,2459575.483917222
18:37:4,42.46712347038643,23.899934768676758,0.0007938033001951669,0.002644789709274791,15.216010808944702,2459575.4840838886
18:37:20,42.45504495079049,23.9403018951416,0.000881469236952869,0.0026613325898477477,15.1680126786232,2459575.48426
18:37:35,42.44167481422857,23.984815597534187,0.0008447910170002994,0.0030912288261265297,14.400002360343933,2459575.4844355555
18:37:49,42.42950982158977,24.025165557861328,0.0008448302091673326,0.002802080118976981,14.400002360343933,2459575.484602222
18:38:4,42.41734426458367,24.06537055969238,0.0008448438235191895,0.0027920135583985326,14.400002360343933,2459575.484768889
18:38:18,42.40517851153087,24.10543251037598,0.0008505159349214582,0.0027728370240217032,14.448000490665436,2459575.4849355556
18:38:32,42.392890256885806,24.145751953125,0.0008562265679312137,0.0028093327685161946,14.351963996887207,2459575.485102778
18:38:47,42.38060172400968,24.185930252075195,0.0008505288887780284,0.0027808899214914694,14.448000490665436,2459575.4852688885
18:39:1,42.36831328220729,24.225963592529293,0.0008590730696712729,0.002770856803331558,14.448000490665436,2459575.4854361108
18:39:16,42.35590139407516,24.266258239746094,0.0008619311885595917,0.002807597222728623,14.35200423002243,2459575.485603333
18:39:30,42.343530954010966,24.3062744140625,0.0008676747227529824,0.0027789005386975848,14.400002360343933,2459575.485769444
18:39:44,42.33103643595531,24.34654998779297,0.0008647615821371925,0.0027969143839436704,14.400002360343933,2459575.485936111
18:39:59,42.3185838671314,24.386547088623047,0.0008734244952708349,0.0027775759912530198,14.400002360343933,2459575.4861027775
18:40:13,42.30600655233792,24.426801681518555,0.0008704813569820401,0.0027954573817546486,14.400002360343933,2459575.486269444
18:40:28,42.29347161874274,24.46677780151368,0.0008791859192463278,0.0027761189890644915,14.400002360343933,2459575.486436111
18:40:42,42.280811339430414,24.50701713562012,0.0008762103029198856,0.0027943977437987497,14.400002360343933,2459575.4866027776
18:40:56,42.26819390900021,24.54697608947754,0.0008879038191248726,0.002774926896363643,14.400002360343933,2459575.4867694443
18:41:11,42.255408091909054,24.58732795715332,0.0008819604680909909,0.0028022125737219307,14.400002360343933,2459575.486936111
18:41:25,42.24270785908681,24.627267837524418,0.0008907535536341555,0.002773602348919571,14.400002360343933,2459575.4871027777
18:41:40,42.229881005812,24.66746520996094,0.0008906815911064374,0.002800819439032496,14.35200423002243,2459575.4872694444
